
<7>[    3.589317] random 0030 0000 0000 9bdad8b7 f39b4c75: add_timer_randomness(.. 8388864) with jiffies: 6305966547009461895, cycles: 6305966542714571213
[    5.562017] random 0110 0000 0000 35fefe78 23547ddc: trying to extract 128 bits from input
[    5.562020] random 0110 0000 0000 35fefe78 23547ddc: debiting 0 entropy credits from input
[    5.562022] random 0110 0000 0000 35fefe78 23547ddc: extract_entropy account returned: 0 
[    5.562025] random 0110 0000 0000 35fefe78 23547ddc: urand_change_num 3352 xfer_secondary_pool(16): pool_sig 00000167, data_sig 00000000, bytes_mixed 0 35fefe78 23547ddc
[    5.562028] random 0110 0000 0000 35fefe78 23547ddc: trying to extract 128 bits from nonblocking
[    5.562030] random 0110 0000 0000 35fefe78 23547ddc: debiting 128 entropy credits from nonblocking (unlimited)
[    5.562033] random 0110 0000 0000 35fefe78 23547ddc: extract_entropy account returned: 16 
[    5.562036] random 0110 0000 0000 35fefe78 23547ddc: urand_change_num 3353 extract_buf: pool_sig 00000167, data_sig 00000005, bytes_mixed 20 35fefe78 23547ddc
[    5.562041] random 0110 0000 0000 56419dfa de761596: urand_change_num 3354 extract_buf: pool_sig 00000043, data_sig 00000044, bytes_mixed 20 56419dfa de761596
[    5.568889] random 0110 0000 0000 56419dfa de761596: rand_read_num 741 get_random_bytes(16): sig 00000430 56419dfa de761596
[    5.568892] random 0110 0000 0000 56419dfa de761596: extract_entropy(.. 16 ..)
[    5.568895] random 0110 0000 0000 56419dfa de761596: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.568898] random 0110 0000 0000 56419dfa de761596: extract_entropy(.. 16 ..)
[    5.568900] random 0110 0000 0000 56419dfa de761596: trying to extract 128 bits from input
[    5.568902] random 0110 0000 0000 56419dfa de761596: debiting 0 entropy credits from input
[    5.568904] random 0110 0000 0000 56419dfa de761596: extract_entropy account returned: 0 
[    5.568908] random 0110 0000 0000 56419dfa de761596: urand_change_num 3355 xfer_secondary_pool(16): pool_sig 00000430, data_sig 00000000, bytes_mixed 0 56419dfa de761596
[    5.568911] random 0110 0000 0000 56419dfa de761596: trying to extract 128 bits from nonblocking
[    5.568913] random 0110 0000 0000 56419dfa de761596: debiting 128 entropy credits from nonblocking (unlimited)
[    5.568915] random 0110 0000 0000 56419dfa de761596: extract_entropy account returned: 16 
[    5.568919] random 0110 0000 0000 56419dfa de761596: urand_change_num 3356 extract_buf: pool_sig 00000430, data_sig ffffff9b, bytes_mixed 20 56419dfa de761596
[    5.568924] random 0110 0000 0000 350b85ba 92228600: urand_change_num 3357 extract_buf: pool_sig fffffeb8, data_sig fffffe18, bytes_mixed 20 350b85ba 92228600
[    5.573221] RANDOM get_random_int call with cycles 10782298817710, jiffies 4294893688 and pid 1
[    5.573536] random 0110 0000 0000 c1719945 dd714c4e: rand_read_num 742 get_random_bytes(16): sig 000001a6 c1719945 dd714c4e
[    5.573539] random 0110 0000 0000 c1719945 dd714c4e: extract_entropy(.. 16 ..)
[    5.573542] random 0110 0000 0000 c1719945 dd714c4e: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.573544] random 0110 0000 0000 c1719945 dd714c4e: extract_entropy(.. 16 ..)
[    5.573546] random 0110 0000 0000 c1719945 dd714c4e: trying to extract 128 bits from input
[    5.573549] random 0110 0000 0000 c1719945 dd714c4e: debiting 0 entropy credits from input
[    5.573551] random 0110 0000 0000 c1719945 dd714c4e: extract_entropy account returned: 0 
[    5.573554] random 0110 0000 0000 c1719945 dd714c4e: urand_change_num 3358 xfer_secondary_pool(16): pool_sig 000001a6, data_sig 00000000, bytes_mixed 0 c1719945 dd714c4e
[    5.573557] random 0110 0000 0000 c1719945 dd714c4e: trying to extract 128 bits from nonblocking
[    5.573560] random 0110 0000 0000 c1719945 dd714c4e: debiting 128 entropy credits from nonblocking (unlimited)
[    5.573562] random 0110 0000 0000 c1719945 dd714c4e: extract_entropy account returned: 16 
[    5.573566] random 0110 0000 0000 c1719945 dd714c4e: urand_change_num 3359 extract_buf: pool_sig 000001a6, data_sig fffffd3d, bytes_mixed 20 c1719945 dd714c4e
[    5.573571] random 0110 0000 0000 c1719945 dd714c4e: urand_change_num 3360 extract_buf: pool_sig ffffffd0, data_sig fffffe87, bytes_mixed 20 c1719945 dd714c4e
[    5.580846] random 0110 0000 0000 e028e787 1a71642f: rand_read_num 743 get_random_bytes(16): sig 0000011a e028e787 1a71642f
[    5.580849] random 0110 0000 0000 e028e787 1a71642f: extract_entropy(.. 16 ..)
[    5.580852] random 0110 0000 0000 e028e787 1a71642f: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.580854] random 0110 0000 0000 e028e787 1a71642f: extract_entropy(.. 16 ..)
[    5.580856] random 0110 0000 0000 e028e787 1a71642f: trying to extract 128 bits from input
[    5.580859] random 0110 0000 0000 e028e787 1a71642f: debiting 0 entropy credits from input
[    5.580861] random 0110 0000 0000 e028e787 1a71642f: extract_entropy account returned: 0 
[    5.580864] random 0110 0000 0000 e028e787 1a71642f: urand_change_num 3361 xfer_secondary_pool(16): pool_sig 0000011a, data_sig 00000000, bytes_mixed 0 e028e787 1a71642f
[    5.580867] random 0110 0000 0000 e028e787 1a71642f: trying to extract 128 bits from nonblocking
[    5.580870] random 0110 0000 0000 e028e787 1a71642f: debiting 128 entropy credits from nonblocking (unlimited)
[    5.580872] random 0110 0000 0000 e028e787 1a71642f: extract_entropy account returned: 16 
[    5.580876] random 0110 0000 0000 e028e787 1a71642f: urand_change_num 3362 extract_buf: pool_sig 0000011a, data_sig fffffef2, bytes_mixed 20 e028e787 1a71642f
[    5.580880] random 0110 0000 0000 e028e787 1a71642f: urand_change_num 3363 extract_buf: pool_sig 000000dd, data_sig 000001ad, bytes_mixed 20 e028e787 1a71642f
[    5.581494] RANDOM get_random_int call with cycles 10782318657954, jiffies 4294893690 and pid 1
[    5.581768] random 0110 0000 0000 884bd259 0ab7bfe5: rand_read_num 744 get_random_bytes(16): sig fffffda0 884bd259 0ab7bfe5
[    5.581771] random 0110 0000 0000 884bd259 0ab7bfe5: extract_entropy(.. 16 ..)
[    5.581774] random 0110 0000 0000 884bd259 0ab7bfe5: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.581777] random 0110 0000 0000 884bd259 0ab7bfe5: extract_entropy(.. 16 ..)
[    5.581779] random 0110 0000 0000 884bd259 0ab7bfe5: trying to extract 128 bits from input
[    5.581781] random 0110 0000 0000 884bd259 0ab7bfe5: debiting 0 entropy credits from input
[    5.581783] random 0110 0000 0000 884bd259 0ab7bfe5: extract_entropy account returned: 0 
[    5.581787] random 0110 0000 0000 884bd259 0ab7bfe5: urand_change_num 3364 xfer_secondary_pool(16): pool_sig fffffda0, data_sig 00000000, bytes_mixed 0 884bd259 0ab7bfe5
[    5.581789] random 0110 0000 0000 884bd259 0ab7bfe5: trying to extract 128 bits from nonblocking
[    5.581792] random 0110 0000 0000 884bd259 0ab7bfe5: debiting 128 entropy credits from nonblocking (unlimited)
[    5.581794] random 0110 0000 0000 884bd259 0ab7bfe5: extract_entropy account returned: 16 
[    5.581798] random 0110 0000 0000 884bd259 0ab7bfe5: urand_change_num 3365 extract_buf: pool_sig fffffda0, data_sig fffffed3, bytes_mixed 20 884bd259 0ab7bfe5
[    5.581803] random 0110 0000 0000 64161bdd dd8b9889: urand_change_num 3366 extract_buf: pool_sig fffffbd7, data_sig fffffef6, bytes_mixed 20 64161bdd dd8b9889
[    5.581945] random 0110 0000 0000 64161bdd dd8b9889: rand_read_num 745 get_random_bytes(16): sig 000006d6 64161bdd dd8b9889
[    5.581948] random 0110 0000 0000 64161bdd dd8b9889: extract_entropy(.. 16 ..)
[    5.581950] random 0110 0000 0000 64161bdd dd8b9889: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.581952] random 0110 0000 0000 64161bdd dd8b9889: extract_entropy(.. 16 ..)
[    5.581955] random 0110 0000 0000 64161bdd dd8b9889: trying to extract 128 bits from input
[    5.581957] random 0110 0000 0000 64161bdd dd8b9889: debiting 0 entropy credits from input
[    5.581959] random 0110 0000 0000 64161bdd dd8b9889: extract_entropy account returned: 0 
[    5.581962] random 0110 0000 0000 64161bdd dd8b9889: urand_change_num 3367 xfer_secondary_pool(16): pool_sig 000006d6, data_sig 00000000, bytes_mixed 0 64161bdd dd8b9889
[    5.581965] random 0110 0000 0000 64161bdd dd8b9889: trying to extract 128 bits from nonblocking
[    5.581968] random 0110 0000 0000 64161bdd dd8b9889: debiting 128 entropy credits from nonblocking (unlimited)
[    5.581970] random 0110 0000 0000 64161bdd dd8b9889: extract_entropy account returned: 16 
[    5.581974] random 0110 0000 0000 64161bdd dd8b9889: urand_change_num 3368 extract_buf: pool_sig 000006d6, data_sig ffffffdc, bytes_mixed 20 64161bdd dd8b9889
[    5.581978] random 0110 0000 0000 8aadda63 8257c4fd: urand_change_num 3369 extract_buf: pool_sig 00000489, data_sig ffffff89, bytes_mixed 20 8aadda63 8257c4fd
[    5.582686] RANDOM get_random_int call with cycles 10782321516985, jiffies 4294893690 and pid 1
[    5.582993] random 0110 0000 0000 e380df63 58f21f4c: rand_read_num 746 get_random_bytes(16): sig fffffb00 e380df63 58f21f4c
[    5.582996] random 0110 0000 0000 e380df63 58f21f4c: extract_entropy(.. 16 ..)
[    5.582999] random 0110 0000 0000 e380df63 58f21f4c: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.583001] random 0110 0000 0000 e380df63 58f21f4c: extract_entropy(.. 16 ..)
[    5.583004] random 0110 0000 0000 e380df63 58f21f4c: trying to extract 128 bits from input
[    5.583008] random 0110 0000 0000 e380df63 58f21f4c: debiting 0 entropy credits from input
[    5.583011] random 0110 0000 0000 e380df63 58f21f4c: extract_entropy account returned: 0 
[    5.583016] random 0110 0000 0000 e380df63 58f21f4c: urand_change_num 3370 xfer_secondary_pool(16): pool_sig fffffb00, data_sig 00000000, bytes_mixed 0 e380df63 58f21f4c
[    5.583020] random 0110 0000 0000 e380df63 58f21f4c: trying to extract 128 bits from nonblocking
[    5.583024] random 0110 0000 0000 e380df63 58f21f4c: debiting 128 entropy credits from nonblocking (unlimited)
[    5.583026] random 0110 0000 0000 e380df63 58f21f4c: extract_entropy account returned: 16 
[    5.583030] random 0110 0000 0000 e380df63 58f21f4c: urand_change_num 3371 extract_buf: pool_sig fffffb00, data_sig 0000015c, bytes_mixed 20 e380df63 58f21f4c
[    5.583035] random 0110 0000 0000 e380df63 58f21f4c: urand_change_num 3372 extract_buf: pool_sig fffffc46, data_sig fffffe0d, bytes_mixed 20 e380df63 58f21f4c
[    5.583393] random 0110 0000 0000 c1b5999a ad1d3914: add_disk_randomness(8:0) c1b5999a ad1d3914
[    5.583398] random 0110 0000 0000 c1b5999a ad1d3914: add_timer_randomness(.. 8388864) with jiffies: 8397989879316668538, cycles: 8397989875021777358
[    5.583401] random 0110 0000 0000 c1b5999a ad1d3914: added 3 entropy credits to input
[    5.584915] random 0113 0000 0000 c1b5999a ad1d3914: rand_read_num 747 get_random_bytes(16): sig 000001d5 c1b5999a ad1d3914
[    5.584918] random 0113 0000 0000 c1b5999a ad1d3914: extract_entropy(.. 16 ..)
[    5.584920] random 0113 0000 0000 c1b5999a ad1d3914: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.584923] random 0113 0000 0000 c1b5999a ad1d3914: extract_entropy(.. 16 ..)
[    5.584925] random 0113 0000 0000 c1b5999a ad1d3914: trying to extract 128 bits from input
[    5.584927] random 0113 0000 0000 c1b5999a ad1d3914: debiting 0 entropy credits from input
[    5.584929] random 0113 0000 0000 c1b5999a ad1d3914: extract_entropy account returned: 0 
[    5.584933] random 0113 0000 0000 c1b5999a ad1d3914: urand_change_num 3373 xfer_secondary_pool(16): pool_sig 000001d5, data_sig 00000000, bytes_mixed 0 c1b5999a ad1d3914
[    5.584935] random 0113 0000 0000 c1b5999a ad1d3914: trying to extract 128 bits from nonblocking
[    5.584938] random 0113 0000 0000 c1b5999a ad1d3914: debiting 128 entropy credits from nonblocking (unlimited)
[    5.584940] random 0113 0000 0000 c1b5999a ad1d3914: extract_entropy account returned: 16 
[    5.584944] random 0113 0000 0000 c1b5999a ad1d3914: urand_change_num 3374 extract_buf: pool_sig 000001d5, data_sig 000001fc, bytes_mixed 20 c1b5999a ad1d3914
[    5.584949] random 0113 0000 0000 c1b5999a ad1d3914: urand_change_num 3375 extract_buf: pool_sig 000001ee, data_sig 00000039, bytes_mixed 20 c1b5999a ad1d3914
[    5.585200] random 0113 0000 0000 f89336c0 36989b8e: add_disk_randomness(8:0) f89336c0 36989b8e
[    5.585204] random 0113 0000 0000 f89336c0 36989b8e: add_timer_randomness(.. 8388864) with jiffies: 8416601411424280699, cycles: 8416601407129389518
[    5.585804] RANDOM get_random_int call with cycles 10782328995208, jiffies 4294893691 and pid 1
[    5.586079] random 0113 0000 0000 f89336c0 36989b8e: rand_read_num 748 get_random_bytes(16): sig fffffc85 f89336c0 36989b8e
[    5.586082] random 0113 0000 0000 f89336c0 36989b8e: extract_entropy(.. 16 ..)
[    5.586085] random 0113 0000 0000 f89336c0 36989b8e: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.586087] random 0113 0000 0000 f89336c0 36989b8e: extract_entropy(.. 16 ..)
[    5.586089] random 0113 0000 0000 f89336c0 36989b8e: trying to extract 128 bits from input
[    5.586092] random 0113 0000 0000 f89336c0 36989b8e: debiting 0 entropy credits from input
[    5.586094] random 0113 0000 0000 f89336c0 36989b8e: extract_entropy account returned: 0 
[    5.586097] random 0113 0000 0000 f89336c0 36989b8e: urand_change_num 3376 xfer_secondary_pool(16): pool_sig fffffc85, data_sig 00000000, bytes_mixed 0 f89336c0 36989b8e
[    5.586100] random 0113 0000 0000 f89336c0 36989b8e: trying to extract 128 bits from nonblocking
[    5.586103] random 0113 0000 0000 f89336c0 36989b8e: debiting 128 entropy credits from nonblocking (unlimited)
[    5.586105] random 0113 0000 0000 f89336c0 36989b8e: extract_entropy account returned: 16 
[    5.586109] random 0113 0000 0000 f89336c0 36989b8e: urand_change_num 3377 extract_buf: pool_sig fffffc85, data_sig 0000029c, bytes_mixed 20 f89336c0 36989b8e
[    5.586113] random 0113 0000 0000 20d47993 7bad7d47: urand_change_num 3378 extract_buf: pool_sig 0000061d, data_sig 000001d9, bytes_mixed 20 20d47993 7bad7d47
[    5.600823] random 0113 0000 0000 20d47993 7bad7d47: rand_read_num 749 get_random_bytes(16): sig 000004a7 20d47993 7bad7d47
[    5.600826] random 0113 0000 0000 20d47993 7bad7d47: extract_entropy(.. 16 ..)
[    5.600829] random 0113 0000 0000 20d47993 7bad7d47: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.600831] random 0113 0000 0000 20d47993 7bad7d47: extract_entropy(.. 16 ..)
[    5.600834] random 0113 0000 0000 20d47993 7bad7d47: trying to extract 128 bits from input
[    5.600836] random 0113 0000 0000 20d47993 7bad7d47: debiting 0 entropy credits from input
[    5.600838] random 0113 0000 0000 20d47993 7bad7d47: extract_entropy account returned: 0 
[    5.600841] random 0113 0000 0000 20d47993 7bad7d47: urand_change_num 3379 xfer_secondary_pool(16): pool_sig 000004a7, data_sig 00000000, bytes_mixed 0 20d47993 7bad7d47
[    5.600844] random 0113 0000 0000 20d47993 7bad7d47: trying to extract 128 bits from nonblocking
[    5.600847] random 0113 0000 0000 20d47993 7bad7d47: debiting 128 entropy credits from nonblocking (unlimited)
[    5.600849] random 0113 0000 0000 20d47993 7bad7d47: extract_entropy account returned: 16 
[    5.600853] random 0113 0000 0000 20d47993 7bad7d47: urand_change_num 3380 extract_buf: pool_sig 000004a7, data_sig ffffffef, bytes_mixed 20 20d47993 7bad7d47
[    5.600857] random 0113 0000 0000 8fb70abc d1a88964: urand_change_num 3381 extract_buf: pool_sig ffffffef, data_sig 00000278, bytes_mixed 20 8fb70abc d1a88964
[    5.601563] RANDOM get_random_int call with cycles 10782366785264, jiffies 4294893695 and pid 1
[    5.601865] random 0113 0000 0000 96d6ed97 28ab274e: rand_read_num 750 get_random_bytes(16): sig ffffff73 96d6ed97 28ab274e
[    5.601868] random 0113 0000 0000 96d6ed97 28ab274e: extract_entropy(.. 16 ..)
[    5.601871] random 0113 0000 0000 96d6ed97 28ab274e: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.601873] random 0113 0000 0000 96d6ed97 28ab274e: extract_entropy(.. 16 ..)
[    5.601875] random 0113 0000 0000 96d6ed97 28ab274e: trying to extract 128 bits from input
[    5.601877] random 0113 0000 0000 96d6ed97 28ab274e: debiting 0 entropy credits from input
[    5.601880] random 0113 0000 0000 96d6ed97 28ab274e: extract_entropy account returned: 0 
[    5.601883] random 0113 0000 0000 96d6ed97 28ab274e: urand_change_num 3382 xfer_secondary_pool(16): pool_sig ffffff73, data_sig 00000000, bytes_mixed 0 96d6ed97 28ab274e
[    5.601885] random 0113 0000 0000 96d6ed97 28ab274e: trying to extract 128 bits from nonblocking
[    5.601888] random 0113 0000 0000 96d6ed97 28ab274e: debiting 128 entropy credits from nonblocking (unlimited)
[    5.601890] random 0113 0000 0000 96d6ed97 28ab274e: extract_entropy account returned: 16 
[    5.601894] random 0113 0000 0000 96d6ed97 28ab274e: urand_change_num 3383 extract_buf: pool_sig ffffff73, data_sig fffffe16, bytes_mixed 20 96d6ed97 28ab274e
[    5.601899] random 0113 0000 0000 96d6ed97 28ab274e: urand_change_num 3384 extract_buf: pool_sig 0000007c, data_sig ffffffc2, bytes_mixed 20 96d6ed97 28ab274e
[    5.602023] random 0113 0000 0000 0f0eac95 6ba52b74: rand_read_num 751 get_random_bytes(16): sig fffffdd5 0f0eac95 6ba52b74
[    5.602026] random 0113 0000 0000 0f0eac95 6ba52b74: extract_entropy(.. 16 ..)
[    5.602028] random 0113 0000 0000 0f0eac95 6ba52b74: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.602031] random 0113 0000 0000 0f0eac95 6ba52b74: extract_entropy(.. 16 ..)
[    5.602033] random 0113 0000 0000 0f0eac95 6ba52b74: trying to extract 128 bits from input
[    5.602035] random 0113 0000 0000 0f0eac95 6ba52b74: debiting 0 entropy credits from input
[    5.602037] random 0113 0000 0000 0f0eac95 6ba52b74: extract_entropy account returned: 0 
[    5.602040] random 0113 0000 0000 0f0eac95 6ba52b74: urand_change_num 3385 xfer_secondary_pool(16): pool_sig fffffdd5, data_sig 00000000, bytes_mixed 0 0f0eac95 6ba52b74
[    5.602043] random 0113 0000 0000 0f0eac95 6ba52b74: trying to extract 128 bits from nonblocking
[    5.602045] random 0113 0000 0000 0f0eac95 6ba52b74: debiting 128 entropy credits from nonblocking (unlimited)
[    5.602048] random 0113 0000 0000 0f0eac95 6ba52b74: extract_entropy account returned: 16 
[    5.602051] random 0113 0000 0000 0f0eac95 6ba52b74: urand_change_num 3386 extract_buf: pool_sig fffffdd5, data_sig 000000a9, bytes_mixed 20 0f0eac95 6ba52b74
[    5.602056] random 0113 0000 0000 0f0eac95 6ba52b74: urand_change_num 3387 extract_buf: pool_sig 000000cc, data_sig fffffeac, bytes_mixed 20 0f0eac95 6ba52b74
